brand,processor_brand,processor,processor_gnrtn,ram,ssd,hdd,os,os_bit,graphic_card_gb,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,34649,2 stars,3,0
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,38999,3 stars,65,5
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,39999,3 stars,8,1
ASUS,Intel,Core i5,10th,8 GB,512 GB,0 GB,Windows,32-bit,2 GB,No warranty,No,69990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,26990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,22990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,21990,3 stars,31,3
ASUS,Intel,Core i5,10th,8 GB,0 GB,1024 GB,Windows,32-bit,2 GB,No warranty,No,58799,3 stars,0,0
Lenovo,Intel,Core i5,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,49999,3 stars,0,0
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,4 GB,No warranty,No,59990,4 stars,1946,240
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,6 GB,No warranty,No,93700,4 stars,259,47
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,4 GB,No warranty,No,72990,4 stars,425,67
Avita,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,17490,3 stars,1120,196
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,35990,3 stars,0,0
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,56490,3 stars,0,0
HP,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,65390,3 stars,0,0
